external_id,name,active,code_labor,description,rata_labor,unidad_medida,cantidad_minima,cantidad_maxima,equivalencia_tiempo,observacion
Labor_289,E26 - CALLES O RONDA,true,E26,CALLES O RONDA,1.87,,0,0,0,
Labor_290,E27 - CAMINOS TRANSITORIOS,true,E27,CAMINOS TRANSITORIOS,1.87,,0,0,0,
Labor_291,E28 - CHAPEO,true,E28,CHAPEO,1.87,,0,0,0,
Labor_292,E29 - CONSTRUCCION DE CANALES,true,E29,CONSTRUCCION DE CANALES,1.87,,0,0,0,
Labor_293,E30 - CONSTRUCCION DE DIQUES,true,E30,CONSTRUCCION DE DIQUES,1.87,,0,0,0,
Labor_294,E31 - CORTE MECANICO DE CAÑA,true,E31,CORTE MECANICO DE CAÑA,1.87,,0,0,0,
Labor_295,E32 - CORTE Y ALCE MECANICO,true,E32,CORTE Y ALCE MECANICO,1.87,,0,0,0,
Labor_296,E33 - DESMONTE,true,E33,DESMONTE,1.87,,0,0,0,
Labor_297,E34 - DESTRONQUE,true,E34,DESTRONQUE,1.87,,0,0,0,
Labor_298,E35 - DRENAJE,true,E35,DRENAJE,1.87,,0,0,0,
Labor_299,E36 - FUMIGACION,true,E36,FUMIGACION,1.87,,0,0,0,
Labor_300,E37 - NIVELACION,true,E37,NIVELACION,1.87,,0,0,0,
Labor_301,E38 - PARCELACION,true,E38,PARCELACION,1.87,,0,0,0,
Labor_302,E39 - RASTRADURA,true,E39,RASTRADURA,1.87,,0,0,0,
Labor_303,E41 - PREVENCION DE INCENDIO,true,E41,PREVENCION DE INCENDIO,1.87,,0,0,0,
Labor_304,E42 - RECONSTRUCCION DE CRUCEROS,true,E42,RECONSTRUCCION DE CRUCEROS,1.87,,0,0,0,
Labor_305,E43 - RELLENOS,true,E43,RELLENOS,1.87,,0,0,0,
Labor_306,E44 - REPARTO DE AGUA,true,E44,REPARTO DE AGUA,1.87,,0,0,0,
Labor_307,E45 - REPARTO DE COMBUSTIBLE,true,E45,REPARTO DE COMBUSTIBLE,1.87,,0,0,0,
Labor_308,E46 - RIEGO POR ASPERCION,true,E46,RIEGO POR ASPERCION,1.87,,0,0,0,
Labor_309,E47 - RIEGO POR GRAVEDAD,true,E47,RIEGO POR GRAVEDAD,1.87,,0,0,0,
Labor_310,E48 - ROTURACION DE CEPA,true,E48,ROTURACION DE CEPA,1.87,,0,0,0,
Labor_311,E49 - PAQUETES DE SEMILLA,true,E49,PAQUETES DE SEMILLA,1.87,,0,0,0,
Labor_312,E50 - SIEMBRA SEMI-MECANICA,true,E50,SIEMBRA SEMI-MECANICA,1.87,,0,0,0,
Labor_313,E51 - SUBSOLADURA,true,E51,SUBSOLADURA,1.87,,0,0,0,
Labor_314,E52 - SURCADURA,true,E52,SURCADURA,1.87,,0,0,0,
Labor_315,E53 - TAPADO DE CRUCEROS,true,E53,TAPADO DE CRUCEROS,1.87,,0,0,0,
Labor_316,E54 - TAPADO MECANICO,true,E54,TAPADO MECANICO,1.87,,0,0,0,
Labor_317,E55 - TRANSPORTE DE ABONO,true,E55,TRANSPORTE DE ABONO,1.87,,0,0,0,
Labor_318,E56 - TRANSPORTE DE PERSONAL,true,E56,TRANSPORTE DE PERSONAL,1.87,,0,0,0,
Labor_319,E57 - TRASPORTE DE ARROZ,true,E57,TRASPORTE DE ARROZ,1.87,,0,0,0,
Labor_320,E58 - ACUMULAR MATERIAL,true,E58,ACUMULAR MATERIAL,1.87,,0,0,0,
Labor_321,E59 - LLENAR CAMIONES DE MATERIAL,true,E59,LLENAR CAMIONES DE MATERIAL,1.87,,0,0,0,
Labor_322,E60 - SERVICIOS GENERAL,true,E60,SERVICIOS GENERAL,1.87,,0,0,0,
Labor_323,E61 - TRANSPORTE DE CAL,true,E61,TRANSPORTE DE CAL,1.87,,0,0,0,
Labor_324,E62 - TRANSPORTE DE CEMENTO,true,E62,TRANSPORTE DE CEMENTO,1.87,,0,0,0,
Labor_325,E63 - TRANSPORTE DE FRUTAS,true,E63,TRANSPORTE DE FRUTAS,1.87,,0,0,0,
Labor_326,E64 - TRANSPORTE DE HORTALIZAS,true,E64,TRANSPORTE DE HORTALIZAS,1.87,,0,0,0,
Labor_327,E65 - TRANSPORTE DE MAIZ,true,E65,TRANSPORTE DE MAIZ,1.87,,0,0,0,
Labor_328,E67 - SERVICIO DE GRUA,true,E67,SERVICIO DE GRUA,1.87,,0,0,0,
Labor_329,E68 - TRANSPORTE DE MOTOBOMBAS,true,E68,TRANSPORTE DE MOTOBOMBAS,1.87,,0,0,0,
Labor_330,E69 - TRANSPORTE DE MUEBLES,true,E69,TRANSPORTE DE MUEBLES,1.87,,0,0,0,
Labor_331,E70 - TRANSPORTE DE PERS. POSADA,true,E70,TRANSPORTE DE PERS. POSADA,1.87,,0,0,0,
Labor_332,E71 - TRANSPORTE DE PERS. RUTA,true,E71,TRANSPORTE DE PERS. RUTA,1.87,,0,0,0,
Labor_333,E72 - TRANSPORTE DE PLATANO,true,E72,TRANSPORTE DE PLATANO,1.87,,0,0,0,
Labor_334,E73 - TRANSPORTE DE SEMILLA,true,E73,TRANSPORTE DE SEMILLA,1.87,,0,0,0,
Labor_335,E74 - TRANSPORTE DE TUBOS,true,E74,TRANSPORTE DE TUBOS,1.87,,0,0,0,
Labor_336,E75 - TRASIEGO DE ALCOHOL,true,E75,TRASIEGO DE ALCOHOL,1.87,,0,0,0,
Labor_337,E76 - TRASIEGO DE AZUCAR CRISTAL,true,E76,TRASIEGO DE AZUCAR CRISTAL,1.87,,0,0,0,
Labor_338,E77 - TRASIEGO DE AZUCAR MORENA,true,E77,TRASIEGO DE AZUCAR MORENA,1.87,,0,0,0,
Labor_339,E78 - TRASIEGO DE AZUCAR TURBINADA,true,E78,TRASIEGO DE AZUCAR TURBINADA,1.87,,0,0,0,
Labor_340,E79 - TRASIEGO DE CAÑA,true,E79,TRASIEGO DE CAÑA,1.87,,0,0,0,
Labor_341,E80 - TRASIEGO DE MELAZA,true,E80,TRASIEGO DE MELAZA,1.87,,0,0,0,
Labor_342,E81 - TRASIEGO DE SEMILLA,true,E81,TRASIEGO DE SEMILLA,1.87,,0,0,0,
Labor_343,E82 - TRASLADO DE EQUIPO,true,E82,TRASLADO DE EQUIPO,1.87,,0,0,0,
Labor_344,E83 - ACUMULAR AZUCAR EN BODEGA,true,E83,ACUMULAR AZUCAR EN BODEGA,1.87,,0,0,0,
Labor_345,E84 - ACARREO DE BAGACILLO,true,E84,ACARREO DE BAGACILLO,1.87,,0,0,0,
